Date,Price,Open,High,Low,Change %
17-Jan-21,0.000807,0.000806,0.000807,0.000806,-0.07%
15-Jan-21,0.000807,0.000811,0.000811,0.000805,-0.43%
14-Jan-21,0.000811,0.000808,0.000813,0.000805,0.28%
13-Jan-21,0.000808,0.00081,0.00081,0.000807,-0.23%
12-Jan-21,0.00081,0.000811,0.000812,0.000808,-0.11%
11-Jan-21,0.000811,0.000812,0.000812,0.000808,0.00%
10-Jan-21,0.000812,0.000811,0.000812,0.00081,0.14%
08-Jan-21,0.00081,0.000809,0.000813,0.000807,0.14%
07-Jan-21,0.000809,0.000808,0.00081,0.000806,0.25%
06-Jan-21,0.000807,0.000808,0.000811,0.000806,0.00%
05-Jan-21,0.000808,0.000811,0.000813,0.000807,-0.43%
04-Jan-21,0.000811,0.000813,0.000818,0.00081,-0.23%
03-Jan-21,0.000813,0.000814,0.000815,0.000813,-0.81%
01-Jan-21,0.00082,0.000826,0.000828,0.000815,-0.76%
31-Dec-20,0.000826,0.00081,0.000826,0.000808,1.93%
30-Dec-20,0.00081,0.000809,0.000815,0.000809,0.13%
29-Dec-20,0.000809,0.00081,0.000813,0.000807,-0.14%
28-Dec-20,0.00081,0.000809,0.000813,0.000807,0.12%
27-Dec-20,0.000809,0.000808,0.00081,0.000808,0.20%
25-Dec-20,0.000808,0.000808,0.00081,0.000808,0.00%
24-Dec-20,0.000808,0.000803,0.000809,0.000802,0.60%
23-Dec-20,0.000803,0.0008,0.000804,0.0008,0.37%
22-Dec-20,0.0008,0.000803,0.000803,0.000799,-0.35%
21-Dec-20,0.000803,0.000806,0.000806,0.000799,-0.29%
20-Dec-20,0.000806,0.000805,0.000806,0.000804,0.30%
18-Dec-20,0.000803,0.000809,0.000809,0.000803,-0.68%
17-Dec-20,0.000809,0.00081,0.000811,0.000807,-0.14%
16-Dec-20,0.00081,0.000813,0.000814,0.000808,-0.45%
15-Dec-20,0.000813,0.000811,0.000814,0.000809,0.36%
14-Dec-20,0.000811,0.000814,0.000816,0.00081,-0.37%
13-Dec-20,0.000814,0.000814,0.000814,0.000813,-0.13%
11-Dec-20,0.000815,0.000815,0.000816,0.00081,-0.10%
10-Dec-20,0.000815,0.000819,0.000819,0.000814,-0.37%
09-Dec-20,0.000818,0.000818,0.000821,0.000818,0.00%
08-Dec-20,0.000818,0.000821,0.000822,0.000818,-0.35%
07-Dec-20,0.000821,0.000823,0.000824,0.00082,-0.14%
06-Dec-20,0.000823,0.000822,0.000823,0.000822,0.00%
04-Dec-20,0.000823,0.000816,0.000824,0.000815,0.90%
03-Dec-20,0.000815,0.000813,0.000819,0.000813,0.26%
02-Dec-20,0.000813,0.000813,0.000819,0.000811,0.00%
01-Dec-20,0.000813,0.000818,0.000821,0.000813,-0.62%
30-Nov-20,0.000818,0.000818,0.00082,0.000815,0.00%
29-Nov-20,0.000818,0.000818,0.000819,0.000818,0.00%
27-Nov-20,0.000818,0.000819,0.000822,0.000818,-0.11%
26-Nov-20,0.000819,0.000821,0.000822,0.000819,-0.17%
25-Nov-20,0.000821,0.00082,0.000825,0.00082,0.00%
24-Nov-20,0.00082,0.000819,0.000823,0.000819,0.15%
23-Nov-20,0.000819,0.000817,0.00082,0.000815,0.25%
22-Nov-20,0.000817,0.000817,0.000817,0.000817,0.00%
20-Nov-20,0.000817,0.000818,0.000819,0.000814,0.00%
19-Nov-20,0.000818,0.000824,0.000824,0.000816,-0.73%
18-Nov-20,0.000824,0.000824,0.000826,0.000822,-0.10%
17-Nov-20,0.000824,0.000824,0.000826,0.000821,0.00%
16-Nov-20,0.000824,0.000823,0.000826,0.000822,0.10%
15-Nov-20,0.000823,0.000824,0.000824,0.000823,-0.13%
13-Nov-20,0.000824,0.000821,0.000825,0.000819,0.49%
12-Nov-20,0.00082,0.000824,0.000825,0.00082,-0.48%
11-Nov-20,0.000824,0.000819,0.000826,0.000819,0.68%
10-Nov-20,0.000819,0.000815,0.000822,0.000815,0.45%
09-Nov-20,0.000815,0.000802,0.000817,0.000802,1.71%
08-Nov-20,0.000801,0.000802,0.000802,0.000801,-0.14%
06-Nov-20,0.000803,0.000805,0.000807,0.000801,-0.28%
05-Nov-20,0.000805,0.000806,0.000809,0.000804,-0.17%
04-Nov-20,0.000806,0.000805,0.000811,0.000799,0.14%
03-Nov-20,0.000805,0.000811,0.000812,0.000805,-0.66%
02-Nov-20,0.000811,0.000807,0.000812,0.000807,0.48%
01-Nov-20,0.000807,0.000806,0.000807,0.000806,0.00%
30-Oct-20,0.000807,0.00081,0.000811,0.000805,-0.39%
29-Oct-20,0.00081,0.000802,0.00081,0.000802,0.92%
28-Oct-20,0.000802,0.000805,0.000806,0.000801,-0.37%
27-Oct-20,0.000805,0.000802,0.000808,0.000802,0.49%
26-Oct-20,0.000802,0.000801,0.000803,0.0008,-0.09%
25-Oct-20,0.000802,0.000802,0.000802,0.000801,0.13%
23-Oct-20,0.000801,0.0008,0.000804,0.000799,0.17%
22-Oct-20,0.0008,0.0008,0.0008,0.000798,0.00%
21-Oct-20,0.000799,0.000796,0.000801,0.000796,0.37%
20-Oct-20,0.000796,0.000799,0.000799,0.000795,-0.26%
19-Oct-20,0.000799,0.000801,0.000803,0.000797,-0.31%
18-Oct-20,0.000801,0.000801,0.000801,0.000801,0.00%
16-Oct-20,0.000801,0.000799,0.000802,0.000798,0.32%
15-Oct-20,0.000799,0.000796,0.000799,0.000796,0.29%
14-Oct-20,0.000796,0.000797,0.000801,0.000795,0.00%
13-Oct-20,0.000797,0.000792,0.000797,0.00079,0.64%
12-Oct-20,0.000792,0.000796,0.000796,0.000791,-0.56%
11-Oct-20,0.000796,0.000797,0.000797,0.000796,0.09%
09-Oct-20,0.000795,0.000796,0.0008,0.000795,-0.15%
08-Oct-20,0.000796,0.000792,0.000798,0.000791,0.54%
07-Oct-20,0.000792,0.000788,0.000793,0.000787,0.59%
06-Oct-20,0.000788,0.000791,0.000791,0.000787,-0.48%
05-Oct-20,0.000791,0.000787,0.000792,0.000787,0.60%
04-Oct-20,0.000787,0.000789,0.000789,0.000786,-0.39%
02-Oct-20,0.00079,0.00079,0.000792,0.000787,-0.10%
01-Oct-20,0.00079,0.000791,0.000792,0.000788,0.00%
30-Sep-20,0.000791,0.000787,0.000792,0.000786,0.50%
29-Sep-20,0.000787,0.000792,0.000792,0.000786,-0.62%
28-Sep-20,0.000791,0.000791,0.000794,0.00079,0.12%
27-Sep-20,0.000791,0.000791,0.000792,0.00079,0.00%
25-Sep-20,0.000791,0.000792,0.000793,0.000788,-0.24%
24-Sep-20,0.000792,0.00079,0.000793,0.000787,0.41%
23-Sep-20,0.000789,0.00079,0.000792,0.000788,-0.17%
22-Sep-20,0.000791,0.000786,0.000792,0.000785,0.62%
21-Sep-20,0.000786,0.000782,0.000787,0.000782,0.50%
20-Sep-20,0.000782,0.000782,0.000782,0.000781,-0.09%
18-Sep-20,0.000782,0.000777,0.000784,0.000776,0.75%
17-Sep-20,0.000777,0.000776,0.000778,0.000775,0.13%
16-Sep-20,0.000776,0.00077,0.000777,0.000769,0.78%
15-Sep-20,0.00077,0.000769,0.000771,0.000767,0.12%
14-Sep-20,0.000769,0.000765,0.000769,0.000765,0.41%
13-Sep-20,0.000765,0.000765,0.000765,0.000765,0.00%
11-Sep-20,0.000766,0.000766,0.000767,0.000765,-0.09%
10-Sep-20,0.000766,0.00077,0.00077,0.000763,-0.50%
09-Sep-20,0.00077,0.000772,0.000774,0.000769,-0.16%
08-Sep-20,0.000771,0.000772,0.000774,0.00077,0.00%
07-Sep-20,0.000772,0.000769,0.000772,0.000768,0.29%
06-Sep-20,0.000769,0.00077,0.00077,0.000769,0.11%
04-Sep-20,0.000769,0.000764,0.000769,0.000763,0.67%
03-Sep-20,0.000764,0.000766,0.000769,0.000762,-0.33%
02-Sep-20,0.000766,0.000767,0.00077,0.000765,-0.07%
01-Sep-20,0.000767,0.000761,0.000767,0.00076,0.77%
31-Aug-20,0.000761,0.000765,0.000766,0.000758,-0.62%
30-Aug-20,0.000765,0.000766,0.000767,0.000765,-0.07%
28-Aug-20,0.000766,0.000766,0.000767,0.000762,0.00%
27-Aug-20,0.000766,0.000766,0.000769,0.000763,-0.12%
26-Aug-20,0.000766,0.000765,0.000768,0.000764,0.24%
