Date,Price,Open,High,Low,Change %
14-Jan-21,0.000751,0.000749,0.000752,0.000746,0.25%
13-Jan-21,0.000749,0.000749,0.00075,0.000747,0.00%
12-Jan-21,0.000749,0.000749,0.00075,0.000747,-0.10%
11-Jan-21,0.000749,0.00075,0.000751,0.000747,-0.14%
10-Jan-21,0.000751,0.000749,0.000751,0.000748,0.26%
08-Jan-21,0.000749,0.000745,0.000749,0.000743,0.46%
07-Jan-21,0.000745,0.000745,0.000748,0.000743,0.00%
06-Jan-21,0.000745,0.000748,0.000749,0.000745,-0.40%
05-Jan-21,0.000748,0.000751,0.000753,0.000747,-0.40%
04-Jan-21,0.000751,0.000752,0.00076,0.00075,-0.12%
03-Jan-21,0.000752,0.000756,0.000756,0.000752,-0.60%
01-Jan-21,0.000757,0.000754,0.000759,0.000754,0.45%
31-Dec-20,0.000754,0.000747,0.000754,0.000747,0.81%
30-Dec-20,0.000747,0.000747,0.000752,0.000747,0.00%
29-Dec-20,0.000747,0.000747,0.000749,0.000745,0.00%
28-Dec-20,0.000747,0.000745,0.000748,0.000744,0.20%
27-Dec-20,0.000745,0.000746,0.000746,0.000745,0.00%
25-Dec-20,0.000745,0.000746,0.000747,0.000744,0.00%
24-Dec-20,0.000746,0.000741,0.000746,0.000741,0.51%
23-Dec-20,0.000742,0.000739,0.000743,0.000739,0.17%
22-Dec-20,0.00074,0.000741,0.000742,0.000737,0.00%
21-Dec-20,0.000741,0.000745,0.000746,0.000738,-0.53%
20-Dec-20,0.000745,0.000744,0.000745,0.000743,0.29%
18-Dec-20,0.000742,0.000746,0.000746,0.000742,-0.42%
17-Dec-20,0.000746,0.00075,0.00075,0.000745,-0.55%
16-Dec-20,0.00075,0.000755,0.000756,0.000749,-0.77%
15-Dec-20,0.000755,0.000753,0.000756,0.000751,0.37%
14-Dec-20,0.000753,0.000755,0.000757,0.000752,-0.25%
13-Dec-20,0.000755,0.000755,0.000755,0.000754,-0.24%
11-Dec-20,0.000756,0.000757,0.000758,0.000752,-0.13%
