Date,Price,Open,High,Low,Change %
14-Jan-21,0.0945,0.0946,0.0949,0.0943,0.05%
13-Jan-21,0.0945,0.0948,0.095,0.0944,-0.32%
12-Jan-21,0.0948,0.095,0.0951,0.0945,-0.21%
11-Jan-21,0.095,0.095,0.0953,0.0947,-0.11%
08-Jan-21,0.0951,0.0949,0.0954,0.0945,0.32%
07-Jan-21,0.0948,0.0947,0.0952,0.0945,0.11%
06-Jan-21,0.0947,0.0945,0.0952,0.0943,0.32%
05-Jan-21,0.0944,0.0949,0.0953,0.0943,-0.53%
04-Jan-21,0.0949,0.095,0.0953,0.0947,-0.11%
01-Jan-21,0.095,0.0951,0.0951,0.095,0.00%
31-Dec-20,0.095,0.0948,0.0953,0.0945,0.32%
30-Dec-20,0.0947,0.0949,0.0953,0.0946,-0.11%
29-Dec-20,0.0948,0.0946,0.095,0.0944,0.42%
28-Dec-20,0.0944,0.0941,0.0947,0.0938,0.43%
25-Dec-20,0.094,0.094,0.0942,0.0939,0.11%
24-Dec-20,0.0939,0.0935,0.0941,0.0935,0.43%
23-Dec-20,0.0935,0.0934,0.0938,0.0931,0.21%
22-Dec-20,0.0933,0.0935,0.0938,0.0931,-0.11%
21-Dec-20,0.0934,0.094,0.0942,0.0932,-0.53%
18-Dec-20,0.0939,0.0943,0.0945,0.0939,-0.32%
17-Dec-20,0.0942,0.0946,0.0948,0.094,-0.21%
16-Dec-20,0.0944,0.0952,0.0953,0.0944,-0.74%
15-Dec-20,0.0951,0.0952,0.0954,0.0947,0.00%
14-Dec-20,0.0951,0.0953,0.0956,0.0948,-0.21%
11-Dec-20,0.0953,0.0958,0.096,0.095,-0.42%
10-Dec-20,0.0957,0.0958,0.0963,0.0957,-0.10%
09-Dec-20,0.0958,0.0959,0.0963,0.0957,0.00%
08-Dec-20,0.0958,0.096,0.0961,0.0957,-0.10%
07-Dec-20,0.0959,0.0961,0.0963,0.0958,-0.21%
04-Dec-20,0.0961,0.0951,0.0962,0.0949,1.05%
03-Dec-20,0.0951,0.0949,0.0956,0.0948,0.21%
02-Dec-20,0.0949,0.0943,0.0951,0.0941,0.74%
01-Dec-20,0.0942,0.094,0.0944,0.0939,0.32%
30-Nov-20,0.0939,0.0942,0.0944,0.0938,-0.32%
27-Nov-20,0.0942,0.0943,0.0944,0.094,0.00%
26-Nov-20,0.0942,0.0944,0.0945,0.094,-0.21%
25-Nov-20,0.0944,0.094,0.0945,0.094,0.43%
24-Nov-20,0.094,0.0939,0.0943,0.0939,0.21%
23-Nov-20,0.0938,0.0931,0.094,0.093,0.75%
20-Nov-20,0.0931,0.0931,0.0934,0.0928,0.00%
19-Nov-20,0.0931,0.0939,0.0939,0.0928,-0.75%
18-Nov-20,0.0938,0.0943,0.0944,0.0936,-0.42%
17-Nov-20,0.0942,0.0944,0.0947,0.094,-0.21%
16-Nov-20,0.0944,0.0947,0.0949,0.0941,0.00%
13-Nov-20,0.0944,0.0943,0.0948,0.094,0.11%
12-Nov-20,0.0943,0.0948,0.0949,0.0941,-0.53%
11-Nov-20,0.0948,0.0943,0.0949,0.0941,0.64%
10-Nov-20,0.0942,0.0941,0.0945,0.0938,0.11%
09-Nov-20,0.0941,0.0922,0.0945,0.0919,2.17%
06-Nov-20,0.0921,0.0922,0.0926,0.0918,0.00%
05-Nov-20,0.0921,0.0926,0.0928,0.0919,-0.32%
04-Nov-20,0.0924,0.0923,0.093,0.0917,0.11%
03-Nov-20,0.0923,0.0924,0.0926,0.0921,-0.11%
02-Nov-20,0.0924,0.092,0.0926,0.0919,0.33%
30-Oct-20,0.0921,0.0926,0.0927,0.0918,-0.43%
29-Oct-20,0.0925,0.0919,0.0926,0.0917,0.65%
28-Oct-20,0.0919,0.0925,0.0927,0.0916,-0.54%
27-Oct-20,0.0924,0.0926,0.0931,0.0925,-0.22%
26-Oct-20,0.0926,0.0928,0.0931,0.0925,-0.11%
23-Oct-20,0.0927,0.0923,0.093,0.0922,0.43%
22-Oct-20,0.0923,0.0923,0.0925,0.0921,0.00%
21-Oct-20,0.0923,0.0926,0.0931,0.0922,-0.32%
20-Oct-20,0.0926,0.0925,0.0928,0.0923,0.22%
19-Oct-20,0.0924,0.0923,0.0926,0.0922,0.11%
16-Oct-20,0.0923,0.0921,0.0925,0.0917,0.22%
15-Oct-20,0.0921,0.0917,0.0922,0.0915,0.44%
14-Oct-20,0.0917,0.0918,0.0923,0.0915,-0.11%
13-Oct-20,0.0918,0.0918,0.0922,0.0914,0.11%
12-Oct-20,0.0917,0.0924,0.0926,0.0916,-0.65%
09-Oct-20,0.0923,0.0921,0.0926,0.0918,0.22%
08-Oct-20,0.0921,0.0916,0.0922,0.0914,0.66%
07-Oct-20,0.0915,0.0906,0.0917,0.0905,0.99%
06-Oct-20,0.0906,0.0913,0.0914,0.0904,-0.77%
05-Oct-20,0.0913,0.0903,0.0914,0.0903,1.11%
02-Oct-20,0.0903,0.0908,0.0909,0.0899,-0.44%
01-Oct-20,0.0907,0.0905,0.0909,0.0904,0.22%
30-Sep-20,0.0905,0.0904,0.0906,0.09,0.11%
29-Sep-20,0.0904,0.0904,0.0905,0.09,0.11%
28-Sep-20,0.0903,0.0899,0.0904,0.0896,0.44%
25-Sep-20,0.0899,0.0901,0.0903,0.0896,-0.22%
24-Sep-20,0.0901,0.09,0.0904,0.0896,0.11%
23-Sep-20,0.09,0.0902,0.0905,0.0899,-0.22%
22-Sep-20,0.0902,0.0899,0.0904,0.0896,0.56%
21-Sep-20,0.0897,0.0896,0.0902,0.0892,0.00%
18-Sep-20,0.0897,0.0896,0.0904,0.0895,0.22%
17-Sep-20,0.0895,0.0895,0.0896,0.0891,0.00%
16-Sep-20,0.0895,0.0894,0.0899,0.0891,0.22%
15-Sep-20,0.0893,0.0895,0.0898,0.0892,-0.11%
14-Sep-20,0.0894,0.0894,0.0897,0.0892,0.00%
11-Sep-20,0.0894,0.0893,0.0896,0.0892,0.11%
10-Sep-20,0.0893,0.0896,0.0897,0.0892,-0.33%
09-Sep-20,0.0896,0.0891,0.0897,0.0889,0.56%
08-Sep-20,0.0891,0.0895,0.0896,0.089,-0.34%
07-Sep-20,0.0894,0.0895,0.0897,0.0893,-0.11%
04-Sep-20,0.0895,0.0891,0.0896,0.089,0.45%
03-Sep-20,0.0891,0.0892,0.0896,0.089,-0.11%
02-Sep-20,0.0892,0.0894,0.0896,0.0891,-0.22%
01-Sep-20,0.0894,0.0891,0.0896,0.0891,0.34%
31-Aug-20,0.0891,0.0892,0.0896,0.0888,-0.11%
28-Aug-20,0.0892,0.0897,0.0904,0.089,-0.56%
27-Aug-20,0.0897,0.0895,0.0899,0.0891,0.34%
26-Aug-20,0.0894,0.0896,0.0899,0.0894,-0.22%
25-Aug-20,0.0896,0.0891,0.0897,0.0891,0.56%
24-Aug-20,0.0891,0.0887,0.0892,0.0887,0.45%
21-Aug-20,0.0887,0.0892,0.0894,0.0887,-0.56%
20-Aug-20,0.0892,0.0897,0.0898,0.089,-0.56%
19-Aug-20,0.0897,0.0891,0.0897,0.0888,0.79%
18-Aug-20,0.089,0.0895,0.0896,0.0888,-0.45%
17-Aug-20,0.0894,0.0898,0.09,0.0894,-0.45%
14-Aug-20,0.0898,0.0903,0.0904,0.0896,-0.44%
13-Aug-20,0.0902,0.0903,0.0904,0.09,-0.11%
12-Aug-20,0.0903,0.0897,0.0904,0.0896,0.67%
11-Aug-20,0.0897,0.0894,0.0901,0.0892,0.45%
10-Aug-20,0.0893,0.0891,0.0895,0.089,0.34%
07-Aug-20,0.089,0.0891,0.0892,0.0888,-0.11%
06-Aug-20,0.0891,0.089,0.0892,0.0887,0.11%
05-Aug-20,0.089,0.0886,0.0892,0.0884,0.45%
04-Aug-20,0.0886,0.0888,0.0891,0.0883,-0.23%
03-Aug-20,0.0888,0.0887,0.0891,0.0883,0.23%
31-Jul-20,0.0886,0.0881,0.0888,0.0875,0.68%
30-Jul-20,0.088,0.0882,0.0884,0.0877,-0.11%
29-Jul-20,0.0881,0.0876,0.0882,0.0875,0.57%
28-Jul-20,0.0876,0.0881,0.0884,0.0875,-0.57%
27-Jul-20,0.0881,0.0882,0.0886,0.0878,-0.23%
24-Jul-20,0.0883,0.089,0.089,0.0878,-0.67%
23-Jul-20,0.0889,0.0895,0.0896,0.0887,-0.67%
22-Jul-20,0.0895,0.0894,0.0896,0.0891,0.11%
21-Jul-20,0.0894,0.0893,0.0898,0.0891,0.11%
20-Jul-20,0.0893,0.089,0.0894,0.0888,0.56%
17-Jul-20,0.0888,0.089,0.0892,0.0887,-0.22%
16-Jul-20,0.089,0.0891,0.0891,0.0886,0.00%
15-Jul-20,0.089,0.089,0.0895,0.0887,0.00%
14-Jul-20,0.089,0.0891,0.0891,0.0887,-0.11%
13-Jul-20,0.0891,0.0891,0.0895,0.0888,0.11%
10-Jul-20,0.089,0.0896,0.0896,0.0887,-0.56%
09-Jul-20,0.0895,0.09,0.09,0.0895,-0.44%
08-Jul-20,0.0899,0.0899,0.0902,0.0897,0.11%
07-Jul-20,0.0898,0.0901,0.0903,0.0897,-0.22%
06-Jul-20,0.09,0.0896,0.0903,0.0896,0.45%
03-Jul-20,0.0896,0.0896,0.0897,0.0894,0.00%
02-Jul-20,0.0896,0.0895,0.0899,0.0891,0.22%
01-Jul-20,0.0894,0.09,0.0902,0.0891,-0.67%
30-Jun-20,0.09,0.0896,0.0901,0.0894,0.45%
29-Jun-20,0.0896,0.0891,0.0899,0.0888,0.67%
26-Jun-20,0.089,0.0892,0.0896,0.089,-0.11%
25-Jun-20,0.0891,0.0887,0.0892,0.0886,0.45%
24-Jun-20,0.0887,0.0882,0.089,0.0881,0.68%
23-Jun-20,0.0881,0.0883,0.0887,0.0878,-0.23%
22-Jun-20,0.0883,0.0882,0.0884,0.0878,0.11%
19-Jun-20,0.0882,0.0882,0.0887,0.0881,0.00%
18-Jun-20,0.0882,0.088,0.0887,0.0877,0.23%
17-Jun-20,0.088,0.0886,0.0887,0.0879,-0.56%
16-Jun-20,0.0885,0.0888,0.0894,0.0882,-0.34%
15-Jun-20,0.0888,0.0892,0.0894,0.0881,-0.45%
12-Jun-20,0.0892,0.0886,0.0896,0.0882,0.68%
11-Jun-20,0.0886,0.09,0.09,0.0884,-1.45%
10-Jun-20,0.0899,0.0899,0.0904,0.0897,0.00%
09-Jun-20,0.0899,0.0906,0.0908,0.0897,-0.77%
08-Jun-20,0.0906,0.0913,0.0914,0.0904,-0.66%
05-Jun-20,0.0912,0.0897,0.0914,0.0896,1.67%
04-Jun-20,0.0897,0.0896,0.09,0.0891,0.22%
03-Jun-20,0.0895,0.0891,0.0897,0.089,0.56%
02-Jun-20,0.089,0.088,0.0894,0.0878,1.14%
01-Jun-20,0.088,0.0875,0.0881,0.0874,0.57%
29-May-20,0.0875,0.0869,0.0877,0.0865,0.69%
28-May-20,0.0869,0.087,0.0873,0.0868,-0.11%
27-May-20,0.087,0.0874,0.0874,0.0869,-0.34%
26-May-20,0.0873,0.0868,0.0875,0.0866,0.69%
25-May-20,0.0867,0.0867,0.087,0.0865,0.00%
22-May-20,0.0867,0.0873,0.0874,0.0865,-0.69%
21-May-20,0.0873,0.0876,0.0878,0.0872,-0.34%
20-May-20,0.0876,0.0879,0.0882,0.0874,-0.34%
